Epoch,Acc.ResNet18(BN+WS),Acc.ResNet18(BN),%change(ResNet18),,Acc.ResNet50(BN+WS),Acc.ResNet50(BN),%change(ResNet50),,Acc.ResNet101BN+WS),Acc.ResNet101(BN),%change(ResNet101)
0,52.16,47.63,4.53,,35.6,41.82,-6.22,,37.63,30.58,7.05
1,63.51,61.63,1.88,,43.81,55.47,-11.66,,54.39,38.52,15.87
2,64.85,69.13,-4.28,,54.12,66.34,-12.22,,54.65,43.86,10.79
3,67.68,71.34,-3.66,,61.58,69.9,-8.32,,64.53,49.31,15.22
4,78.22,71.48,6.74,,64.82,68.08,-3.26,,66.2,57.07,9.13
5,78.25,73.71,4.54,,60.72,75.27,-14.55,,73.3,67.08,6.22
6,78.17,75.44,2.73,,71.43,75.42,-3.99,,75.83,63.19,12.64
7,74.89,76.62,-1.73,,74.32,73.92,0.4,,76.15,71.06,5.09
8,81.53,78,3.53,,75.49,75.38,0.11,,73.15,74.12,-0.97
9,76.61,76.39,0.22,,74.17,75.35,-1.18,,78.04,72.56,5.48
10,77.98,82.71,-4.73,,70.83,77.87,-7.04,,77.43,71.14,6.29
11,80.56,79.21,1.35,,67.9,79.45,-11.55,,79.14,71.77,7.37
12,72.38,80.86,-8.48,,76.13,77.45,-1.32,,69.85,74.96,-5.11
13,73.69,78.87,-5.18,,76.79,76.16,0.63,,80.79,77.35,3.44
14,77,75.76,1.24,,78.67,78.33,0.34,,81.49,78.13,3.36
15,79.72,77.95,1.77,,77.95,74.09,3.86,,68.38,74.57,-6.19
16,76.84,84.2,-7.36,,74.22,81.98,-7.76,,75.18,78.61,-3.43
17,79.24,80.06,-0.82,,79.27,82.12,-2.85,,80.5,70.75,9.75
18,76.64,77.38,-0.74,,79.54,79.62,-0.08,,76.66,77.15,-0.49
19,82.66,83.39,-0.73,,79.42,79.15,0.27,,76.67,71.37,5.3
20,76.12,83.47,-7.35,,78.97,78.4,0.57,,77.14,79.34,-2.2
21,80.58,83.27,-2.69,,79.37,78.55,0.82,,80.77,75.6,5.17
22,84.18,81.4,2.78,,77.79,80.64,-2.85,,80.15,79.3,0.85
23,84.98,79.93,5.05,,83.05,78.42,4.63,,80.06,79.2,0.86
24,80.36,82.48,-2.12,,81.47,79.28,2.19,,79.65,81.57,-1.92