Epoch,Acc.ResNet18(BN+WS),Acc.ResNet50(BN+WS),Acc.ResNet101(BN+WS),Acc.ResNet18(BN),Acc.ResNet50(BN),Acc.ResNet101(BN)
0,52.16,35.6,37.63,47.63,41.82,30.58
1,63.51,43.81,54.39,61.63,55.47,38.52
2,64.85,54.12,54.65,69.13,66.34,43.86
3,67.68,61.58,64.53,71.34,69.9,49.31
4,78.22,64.82,66.2,71.48,68.08,57.07
5,78.25,60.72,73.3,73.71,75.27,67.08
6,78.17,71.43,75.83,75.44,75.42,63.19
7,74.89,74.32,76.15,76.62,73.92,71.06
8,81.53,75.49,73.15,78,75.38,74.12
9,76.61,74.17,78.04,76.39,75.35,72.56
10,77.98,70.83,77.43,82.71,77.87,71.14
11,80.56,67.9,79.14,79.21,79.45,71.77
12,72.38,76.13,69.85,80.86,77.45,74.96
13,73.69,76.79,80.79,78.87,76.16,77.35
14,77,78.67,81.49,75.76,78.33,78.13
15,79.72,77.95,68.38,77.95,74.09,74.57
16,76.84,74.22,75.18,84.2,81.98,78.61
17,79.24,79.27,80.5,80.06,82.12,70.75
18,76.64,79.54,76.66,77.38,79.62,77.15
19,82.66,79.42,76.67,83.39,79.15,71.37
20,76.12,78.97,77.14,83.47,78.4,79.34
21,80.58,79.37,80.77,83.27,78.55,75.6
22,84.18,77.79,80.15,81.4,80.64,79.3
23,84.98,83.05,80.06,79.93,78.42,79.2
24,80.36,81.47,79.65,82.48,79.28,81.57